Manufacturer,Model,Code,Type,Engine Type
FAIREY,Firefly,FFLY,Fixed-Wing,Piston
FAIREY,Gannet,GANT,Fixed-Wing,Turboprop/Turboshaft
FAIREY,Swordfish,SWOR,Fixed-Wing,Piston
FAIRTRAVEL,Linnet,CP30,Fixed-Wing,Piston
FAJR,F-3,FJR3,Fixed-Wing,Piston
FALCOMPOSITE,Furio,LN27,Fixed-Wing,Piston
FALCOMPOSITE,LN-27 Furio,LN27,Fixed-Wing,Piston
FALCON AIR,Falcon 402,F402,Fixed-Wing,Turboprop/Turboshaft
FALCON AIR,Falcon 421,F421,Fixed-Wing,Turboprop/Turboshaft
FALCONAR,AMF-S14 Maranda,RA14,Fixed-Wing,Piston
FALCONAR,Cruiser,D11,Fixed-Wing,Piston
FALCONAR,Cubmajor,MAJR,Fixed-Wing,Piston
FALCONAR,F-11,D11,Fixed-Wing,Piston
FALCONAR,F-11 Sporty,D11,Fixed-Wing,Piston
FALCONAR,F-12 Cruiser,D11,Fixed-Wing,Piston
FALCONAR,HM-380 Ladybug,HM38,Fixed-Wing,Piston
FALCONAR,Ladybug,HM38,Fixed-Wing,Piston
FALCONAR,Maranda,RA14,Fixed-Wing,Piston
FALCONAR,Mustang,FS51,Fixed-Wing,Piston
FALCONAR,SAL P-51D Mustang,FS51,Fixed-Wing,Piston
FALCONAR,Sporty,D11,Fixed-Wing,Piston
FAMA,K-209 KISS,K209,Helicopter,Turboprop/Turboshaft
FAMA,KISS,K209,Helicopter,Turboprop/Turboshaft
FANTASY AIR,Allegro,ALGR,Fixed-Wing,Piston
FARIGOUX,FG-01 Origan,FG01,Fixed-Wing,Piston
FARIGOUX,Origan,FG01,Fixed-Wing,Piston
FARNBOROUGH,F-1 Kestrel,KEST,Fixed-Wing,Turboprop/Turboshaft
FARNBOROUGH,Kestrel,KEST,Fixed-Wing,Turboprop/Turboshaft
FARRINGTON,Twinstar,TSTR,Gyrocopter,Piston
FD-COMPOSITES,ArrowCopter,AC10,Gyrocopter,Piston
FEUGRAY,Sirius,TR26,Fixed-Wing,Piston
FEUGRAY,TR-200,TR20,Fixed-Wing,Piston
FEUGRAY,TR-260 Sirius,TR26,Fixed-Wing,Piston
FFA,AS-202-15 Bravo,AS02,Fixed-Wing,Piston
FFA,AS-202-18 Bravo,AS02,Fixed-Wing,Piston
FFA,AS-202-18 Wren,AS02,Fixed-Wing,Piston
FFA,AS-202-26 Bravo,AS02,Fixed-Wing,Piston
FFA,AS-202-32TP Turbine Bravo,AS2T,Fixed-Wing,Turboprop/Turboshaft
FFA,Bravo,AS02,Fixed-Wing,Piston
FFA,Turbine Bravo,AS2T,Fixed-Wing,Turboprop/Turboshaft
FFA,Wren,AS02,Fixed-Wing,Piston
FFT,Eurotrainer 2000,EURT,Fixed-Wing,Piston
FFT,SC-01 Speed Canard,SC01,Fixed-Wing,Piston
FFT,Speed Canard,SC01,Fixed-Wing,Piston
FIAT,G-46,G46,Fixed-Wing,Piston
FIAT,G-59,G59,Fixed-Wing,Piston
FIESELER,Fi-156 Storch,F156,Fixed-Wing,Piston
FIESELER,Storch,F156,Fixed-Wing,Piston
FIGHTER ESCORT WINGS,P-51,FE51,Fixed-Wing,Piston
FIKE,D,FIKD,Fixed-Wing,Piston
FIKE,E,FIKE,Fixed-Wing,Piston
FINMECCANICA,AW-139,A139,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-119 Koala,A119,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Koala,A119,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-189,A189,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Falco,FLCO,Fixed-Wing,Piston
FINMECCANICA,AW-169,A169,Helicopter,Turboprop/Turboshaft
FINMECCANICA,ICH-47 Chinook,H47,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Chinook,H47,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-159 Lynx Wildcat,LYNX,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Lynx Wildcat,LYNX,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-159 Wildcat,LYNX,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Wildcat,LYNX,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-101,EH10,Helicopter,Turboprop/Turboshaft
FINMECCANICA,HH-101 Caesar,EH10,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Caesar,EH10,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-109 Power,A109,Helicopter,Turboprop/Turboshaft
FINMECCANICA,AW-109 GrandNew,A109,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Power,A109,Helicopter,Turboprop/Turboshaft
FINMECCANICA,Grand,A109,Helicopter,Turboprop/Turboshaft
FISHER,Celebrity,CLBR,Fixed-Wing,Piston
FISHER,Dakota Hawk,DAKH,Fixed-Wing,Piston
FISHER,Horizon,HORZ,Fixed-Wing,Piston
FISHER,R-80 Tiger Moth,TMOT,Fixed-Wing,Piston
FISHER,RS-80 Tiger Moth,TMOT,Fixed-Wing,Piston
FISHER,Tiger Moth,TMOT,Fixed-Wing,Piston
FISHER AERO,Celebrity,CLBR,Fixed-Wing,Piston
FISHER AERO,Culex,CULX,Fixed-Wing,Piston
FISHER AERO,Horizon,HORZ,Fixed-Wing,Piston
FLAGLOR,Scooter,SCTR,Fixed-Wing,Piston
FLAIR,FU-24,FU24,Fixed-Wing,Piston
FLARIS,LAR-1,LAR1,Fixed-Wing,Jet
FLEET,2,FLE2,Fixed-Wing,Piston
FLEET,7,FLE7,Fixed-Wing,Piston
FLEET,7 Fawn,FLE7,Fixed-Wing,Piston
FLEET,10,FINC,Fixed-Wing,Piston
FLEET,11,FINC,Fixed-Wing,Piston
FLEET,16 Finch,FINC,Fixed-Wing,Piston
FLEET,60 Fort,FORT,Fixed-Wing,Piston
FLEET,80 Canuck,CNUK,Fixed-Wing,Piston
FLEET,Canuck,CNUK,Fixed-Wing,Piston
FLEET,Cornell,FA62,Fixed-Wing,Piston
FLEET,Fawn,FLE7,Fixed-Wing,Piston
FLEET,Finch,FINC,Fixed-Wing,Piston
FLEET,Fort,FORT,Fixed-Wing,Piston
FLEET,PT-23 Cornell,FA62,Fixed-Wing,Piston
FLEET,PT-26 Cornell,FA62,Fixed-Wing,Piston
FLEETWINGS,F-4 Sea Bird,FWSB,Amphibian,Piston
FLEETWINGS,Sea Bird,FWSB,Amphibian,Piston
FLETCHER,FU-24,FU24,Fixed-Wing,Piston
FLIGHT DESIGN,CT,FDCT,Fixed-Wing,Piston
FLIGHT DESIGN,MC,FDMC,Fixed-Wing,Piston
FLIGHT DESIGN,F-2,FDF2,Fixed-Wing,Piston
FLIGHT DESIGN,F-2e,FD2E,Fixed-Wing,Electric
FLIGHT DESIGN-VESSEL,KLA-100,KL10,Fixed-Wing,Piston
FLIGHT ENGINEERS,Airtruk,PL12,Fixed-Wing,Piston
FLIGHT ENGINEERS,PL-12 Airtruk,PL12,Fixed-Wing,Piston
FLIGHTWORKS,Capella,CAPL,Fixed-Wing,Piston
FLITZER,Flitzer,FLIZ,Fixed-Wing,Piston
FLITZER,Z-1 Flitzer,FLIZ,Fixed-Wing,Piston
FLITZER,Z-21 Flitzer,FLIZ,Fixed-Wing,Piston
FLS,OA-7 Optica,OPCA,Fixed-Wing,Piston
FLS,Optica,OPCA,Fixed-Wing,Piston
FLS,Sprint,SAH1,Fixed-Wing,Piston
FLSZ,Der Kricket,KRIC,Fixed-Wing,Piston
FLSZ,DK-1 Der Kricket,KRIC,Fixed-Wing,Piston
FLUG WERK,Fw-190 Replica,FW90,Fixed-Wing,Piston
FLY SYNTHESIS,Storch,STCH,Fixed-Wing,Piston
FLY SYNTHESIS,Texan,TEXA,Fixed-Wing,Piston
FLY SYNTHESIS,Wallaby,WLBY,Fixed-Wing,Piston
FLY SYNTHESIS,Syncro,SYNC,Fixed-Wing,Piston
FLY SYNTHESIS,Catalina,CTLN,Amphibian,Piston
FLYER,Flyer SS,FLSS,Fixed-Wing,Piston
FLYER,Flyer NG,FLSS,Fixed-Wing,Piston
FLYER,Pelican,PELI,Fixed-Wing,Piston
FLYGFABRIKEN,LN-3 Seagull,LN3,Amphibian,Piston
FLYGFABRIKEN,Seagull,LN3,Amphibian,Piston
FLYING MACHINES,FM-250 Vampire,FM25,Fixed-Wing,Piston
FLYING MACHINES,Vampire,FM25,Fixed-Wing,Piston
FLYITALIA,MD-3 Rider,MD3R,Fixed-Wing,Piston
FLYITALIA,Rider,MD3R,Fixed-Wing,Piston
FLYWHALE,FW-02 Flywhale,FW02,Amphibian,Piston
FLYWHALE,Flywhale,FW02,Amphibian,Piston
FLÄMING AIR,FA-01 Saphir,FA01,Fixed-Wing,Piston
FLÄMING AIR,FA-01 Smaragd,FA01,Fixed-Wing,Piston
FLÄMING AIR,FA-02 Smaragd VLA,FA02,Fixed-Wing,Piston
FLÄMING AIR,FA-03 Smaragd TMG,FA03,Fixed-Wing,Piston
FLÄMING AIR,Saphir,FA01,Fixed-Wing,Piston
FLÄMING AIR,Smaragd,FA01,Fixed-Wing,Piston
FLÄMING AIR,Smaragd TMG,FA03,Fixed-Wing,Piston
FLÄMING AIR,Smaragd VLA,FA02,Fixed-Wing,Piston
FLÄMING AIR,FA-04 Peregrine,FA04,Fixed-Wing,Piston
FLÄMING AIR,Peregrine,FA04,Fixed-Wing,Piston
FMA,20 El Boyero,EBOY,Fixed-Wing,Piston
FMA,El Boyero,EBOY,Fixed-Wing,Piston
FMA,A-150,C150,Fixed-Wing,Piston
FMA,A-182,C182,Fixed-Wing,Piston
FMA,A-A150 Aerobat,C150,Fixed-Wing,Piston
FMA,A-A188 AgTruck,C188,Fixed-Wing,Piston
FMA,Aerobat,C150,Fixed-Wing,Piston
FMA,AgTruck,C188,Fixed-Wing,Piston
FMA,Fw-44 Stieglitz,FW44,Fixed-Wing,Piston
FMA,Guarani 2,IA50,Fixed-Wing,Turboprop/Turboshaft
FMA,IA-50 Guarani 2,IA50,Fixed-Wing,Turboprop/Turboshaft
FMA,IA-51 Tehuelche,IA51,Fixed-Wing,Piston
FMA,IA-58 Pucará,IA58,Fixed-Wing,Turboprop/Turboshaft
FMA,IA-63 Pampa,IA63,Fixed-Wing,Jet
FMA,P-172,C172,Fixed-Wing,Piston
FMA,Pampa,IA63,Fixed-Wing,Jet
FMA,Pucará,IA58,Fixed-Wing,Turboprop/Turboshaft
FMA,Stieglitz,FW44,Fixed-Wing,Piston
FMA,Tehuelche,IA51,Fixed-Wing,Piston
FMA,AT-63 Pampa,IA63,Fixed-Wing,Jet
FMP,Qualt,QALT,Fixed-Wing,Piston
FOCKE-WULF,Fw-44 Stieglitz,FW44,Fixed-Wing,Piston
FOCKE-WULF,Fw-190 Replica,FW90,Fixed-Wing,Piston
FOCKE-WULF,FWP-149,P149,Fixed-Wing,Piston
FOCKE-WULF,Stieglitz,FW44,Fixed-Wing,Piston
FOKKER,50,F50,Fixed-Wing,Turboprop/Turboshaft
FOKKER,50 Fokker50Freighter,F50,Fixed-Wing,Turboprop/Turboshaft
FOKKER,50 Maritime Enforcer,F50,Fixed-Wing,Turboprop/Turboshaft
FOKKER,60,F60,Fixed-Wing,Turboprop/Turboshaft
FOKKER,70,F70,Fixed-Wing,Jet
FOKKER,100,F100,Fixed-Wing,Jet
FOKKER,C-31 Friendship,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,D-7 Replica,D7,Fixed-Wing,Piston
FOKKER,D-8 Replica,D8,Fixed-Wing,Piston
FOKKER,Dr-1 Replica,DR1,Fixed-Wing,Piston
FOKKER,F-16 Fighting Falcon,F16,Fixed-Wing,Jet
FOKKER,F-27 Friendship,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,F-27 Maritime,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,F-27 Troopship,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,F-28 Fellowship,F28,Fixed-Wing,Jet
FOKKER,Fellowship,F28,Fixed-Wing,Jet
FOKKER,Fighting Falcon,F16,Fixed-Wing,Jet
FOKKER,Fokker50Freighter,F50,Fixed-Wing,Turboprop/Turboshaft
FOKKER,Friendship,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,Instructor,S11,Fixed-Wing,Piston
FOKKER,Maritime,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,Maritime Enforcer,F50,Fixed-Wing,Turboprop/Turboshaft
FOKKER,S-11 Instructor,S11,Fixed-Wing,Piston
FOKKER,Super Universal,SUNV,Fixed-Wing,Piston
FOKKER,Troopship,F27,Fixed-Wing,Turboprop/Turboshaft
FOKKER,D-21 Replica,D21,Fixed-Wing,Piston
FOLLAND,Fo-144 Gnat,GNAT,Fixed-Wing,Jet
FOLLAND,Gnat,GNAT,Fixed-Wing,Jet
FORD,4-AT Tri-Motor,TRIM,Fixed-Wing,Piston
FORD,5-AT Tri-Motor,TRIM,Fixed-Wing,Piston
FORD,Tri-Motor,TRIM,Fixed-Wing,Piston
FORNAIRE,Aircoupe,ERCO,Fixed-Wing,Piston
FORNAIRE,F-1 Aircoupe,ERCO,Fixed-Wing,Piston
FORNEY,Aircoupe,ERCO,Fixed-Wing,Piston
FORNEY,F-1 Aircoupe,ERCO,Fixed-Wing,Piston
FOUGA,CM-170R Magister,FOUG,Fixed-Wing,Jet
FOUGA,Magister,FOUG,Fixed-Wing,Jet
FOUND,100 Centennial,CENT,Fixed-Wing,Piston
FOUND,Bush Hawk,FBA2,Fixed-Wing,Piston
FOUND,Centennial,CENT,Fixed-Wing,Piston
FOUND,FBA-2,FBA2,Fixed-Wing,Piston
FOUND,FBA-2 Bush Hawk,FBA2,Fixed-Wing,Piston
FOUND,FBA-2 Expedition E350,FBA2,Fixed-Wing,Piston
FOUND,Expedition E350,FBA2,Fixed-Wing,Piston
FOUR WINDS,192,FW19,Fixed-Wing,Piston
FOUR WINDS,FX-210,FW21,Fixed-Wing,Piston
FOURNIER,RF-3,RF3,Fixed-Wing,Piston
FOURNIER,RF-4,RF4,Fixed-Wing,Piston
FOURNIER,RF-5,RF5,Fixed-Wing,Piston
FOURNIER,RF-6,RF6,Fixed-Wing,Piston
FOURNIER,RF-9,RF9,Fixed-Wing,Piston
FOURNIER,RF-10,RF10,Fixed-Wing,Piston
FOURNIER,RF-47,RF47,Fixed-Wing,Piston
FOURNIER,TZ-5,RF5,Fixed-Wing,Piston
FOXCON,Terrier,TERR,Fixed-Wing,Piston
FRAKES,G-73T Turbo Mallard,G73T,Amphibian,Turboprop/Turboshaft
FRAKES,G-164 Turbo Cat,G64T,Fixed-Wing,Turboprop/Turboshaft
FRAKES,Mohawk 298,N262,Fixed-Wing,Turboprop/Turboshaft
FRAKES,Turbo Cat,G64T,Fixed-Wing,Turboprop/Turboshaft
FRAKES,Turbo Mallard,G73T,Amphibian,Turboprop/Turboshaft
FREE SPIRIT,Free Spirit,FREE,Fixed-Wing,Piston
FREE SPIRIT,RC-412 Free Spirit,FREE,Fixed-Wing,Piston
FREEDOM,Phoenix,PHNX,Fixed-Wing,Piston
FREEDOM MASTER,Air Shark,SHAK,Amphibian,Piston
FREEDOM MASTER,FM-2 Air Shark,SHAK,Amphibian,Piston
FREEWING,Freebird Mk5,FBIR,Fixed-Wing,Piston
FRONTIER,Frontier MD-2,FRON,Fixed-Wing,Piston
FRY,Esprit,VF2,Fixed-Wing,Piston
FRY,VF-2 Esprit,VF2,Fixed-Wing,Piston
FUJI,204,UH1,Helicopter,Turboprop/Turboshaft
FUJI,205,UH1,Helicopter,Turboprop/Turboshaft
FUJI,305 Bird Dog,O1,Fixed-Wing,Piston
FUJI,Aero Subaru,SUBA,Fixed-Wing,Piston
FUJI,AH-1 HueyCobra,HUCO,Helicopter,Turboprop/Turboshaft
FUJI,AH-64 Longbow Apache,H64,Helicopter,Turboprop/Turboshaft
FUJI,Bird Dog,O1,Fixed-Wing,Piston
FUJI,FA-200 Aero Subaru,SUBA,Fixed-Wing,Piston
FUJI,FA-300,RC70,Fixed-Wing,Piston
FUJI,HueyCobra,HUCO,Helicopter,Turboprop/Turboshaft
FUJI,KM-2,KM2,Fixed-Wing,Piston
FUJI,KM-2B Mentor,T34P,Fixed-Wing,Piston
FUJI,KM-2D,T5,Fixed-Wing,Turboprop/Turboshaft
FUJI,KM-2Kai,T5,Fixed-Wing,Turboprop/Turboshaft
FUJI,L-19 Bird Dog,O1,Fixed-Wing,Piston
FUJI,Longbow Apache,H64,Helicopter,Turboprop/Turboshaft
FUJI,Mentor,T34P,Fixed-Wing,Piston
FUJI,T-1,T1,Fixed-Wing,Jet
FUJI,T1F,T1,Fixed-Wing,Jet
FUJI,T-3 Mentor,T34P,Fixed-Wing,Piston
FUJI,T-3Kai,T34T,Fixed-Wing,Turboprop/Turboshaft
FUJI,T-5,T5,Fixed-Wing,Turboprop/Turboshaft
FUJI,T-7,T7,Fixed-Wing,Turboprop/Turboshaft
FUJI,T-34 Mentor,T34P,Fixed-Wing,Piston
FUJI,UH-1,UH1,Helicopter,Turboprop/Turboshaft
FUJI,LM-1 Nikko,KM2,Fixed-Wing,Piston
FUJI,LM-2 Nikko,KM2,Fixed-Wing,Piston
FUJI,Nikko,KM2,Fixed-Wing,Piston
FUNK,B,FNKB,Fixed-Wing,Piston
G1 AVIATION,G-1,G1,Fixed-Wing,Piston
G1 AVIATION,G-1 Gélinotte,G1,Fixed-Wing,Piston
G1 AVIATION,G-1 Goéland,G1,Fixed-Wing,Piston
G1 AVIATION,G-1 Grive,G1,Fixed-Wing,Piston
G1 AVIATION,G-1 Spyl,G1,Fixed-Wing,Piston
G1 AVIATION,Gélinotte,G1,Fixed-Wing,Piston
G1 AVIATION,Goéland,G1,Fixed-Wing,Piston
G1 AVIATION,Grive,G1,Fixed-Wing,Piston
G1 AVIATION,Spyl,G1,Fixed-Wing,Piston
GAF,Floatmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,Missionmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,N-2 Nomad,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,N-22 Floatmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,N-22 Missionmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,ATF-18 Hornet,F18H,Fixed-Wing,Jet
GAF,N-22 Nomad,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,N-22 Searchmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,N-24 Nomad,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,Nomad,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,Searchmaster,NOMA,Fixed-Wing,Turboprop/Turboshaft
GAF,AF-18 Hornet,F18H,Fixed-Wing,Jet
GAF,Hornet,F18H,Fixed-Wing,Jet
GALILEO,Falco,FLCO,Fixed-Wing,Piston
GAME COMPOSITES,GB-1 GameBird,GB1,Fixed-Wing,Piston
GAME COMPOSITES,GameBird,GB1,Fixed-Wing,Piston
GANNET,G-44 Super Widgeon,G44,Amphibian,Piston
GANNET,Super Widgeon,G44,Amphibian,Piston
GANZAVIA,Dinó,DINO,Fixed-Wing,Piston
GANZAVIA,GAK-22 Dinó,DINO,Fixed-Wing,Piston
GARDAN,Bagheera,GY10,Fixed-Wing,Piston
GARDAN,GY-80 Horizon,GY80,Fixed-Wing,Piston
GARDAN,GY-100 Bagheera,GY10,Fixed-Wing,Piston
GARDAN,Horizon,GY80,Fixed-Wing,Piston
GARLAND,Linnet,CP30,Fixed-Wing,Piston
GARRISON,Melmoth 2,MEL2,Fixed-Wing,Piston
GATARD,AG-02 Poussin,AG02,Fixed-Wing,Piston
GATARD,Poussin,AG02,Fixed-Wing,Piston
GATES LEARJET,24,LJ24,Fixed-Wing,Jet
GATES LEARJET,25,LJ25,Fixed-Wing,Jet
GATES LEARJET,28,LJ28,Fixed-Wing,Jet
GATES LEARJET,29,LJ28,Fixed-Wing,Jet
GATES LEARJET,31,LJ31,Fixed-Wing,Jet
GATES LEARJET,35,LJ35,Fixed-Wing,Jet
GATES LEARJET,36,LJ35,Fixed-Wing,Jet
GATES LEARJET,55,LJ55,Fixed-Wing,Jet
GATES LEARJET,C-21,LJ35,Fixed-Wing,Jet
GATES LEARJET,R-35,LJ35,Fixed-Wing,Jet
GATES LEARJET,RC-35,LJ35,Fixed-Wing,Jet
GATES LEARJET,RC-36,LJ35,Fixed-Wing,Jet
GATES LEARJET,U-36,LJ35,Fixed-Wing,Jet
GATES LEARJET,UC-35,LJ35,Fixed-Wing,Jet
GATES LEARJET,UC-36,LJ35,Fixed-Wing,Jet
GAVILAN,EL-1 Gavilan 358,GAVI,Fixed-Wing,Piston
GAVILAN,Gavilan 358,GAVI,Fixed-Wing,Piston
GENERAL AIRCRAFT,G1-80 Skyfarer,G180,Fixed-Wing,Piston
GENERAL AIRCRAFT,Skyfarer,G180,Fixed-Wing,Piston
GENERAL ATOMICS,MQ-1 Predator,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,MQ-1 Warrior,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,RQ-1 Predator,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,MQ-1 Gray Eagle,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,Predator,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,Warrior,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,Grey Eagle,Q1,Fixed-Wing,Piston
GENERAL ATOMICS,MQ-9 Reaper,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,MQ-9 Predator B,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,MQ-9 Guardian,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,MQ-9 Ikhana,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,Predator B,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,Reaper,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,Guardian,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL ATOMICS,Ikhana,Q9,Fixed-Wing,Turboprop/Turboshaft
GENERAL AVIA,Airone,ARON,Fixed-Wing,Piston
GENERAL AVIA,Condor,CNDR,Fixed-Wing,Turboprop/Turboshaft
GENERAL AVIA,Delfino,PICO,Fixed-Wing,Piston
GENERAL AVIA,F-15 Delfino,PICO,Fixed-Wing,Piston
GENERAL AVIA,F-15 Picchio,PICO,Fixed-Wing,Piston
GENERAL AVIA,F-20 Pegaso,PEGA,Fixed-Wing,Piston
GENERAL AVIA,F-20TP Condor,CNDR,Fixed-Wing,Turboprop/Turboshaft
GENERAL AVIA,F-22 Pinguino,PINO,Fixed-Wing,Piston
GENERAL AVIA,F-22 Pinguino Sprint,PINO,Fixed-Wing,Piston
GENERAL AVIA,F-220 Airone,ARON,Fixed-Wing,Piston
GENERAL AVIA,F-1300 Jet Squalus,JSQA,Fixed-Wing,Jet
GENERAL AVIA,Jet Squalus,JSQA,Fixed-Wing,Jet
GENERAL AVIA,Pegaso,PEGA,Fixed-Wing,Piston
GENERAL AVIA,Picchio,PICO,Fixed-Wing,Piston
GENERAL AVIA,Pinguino,PINO,Fixed-Wing,Piston
GENERAL AVIA,Pinguino Sprint,PINO,Fixed-Wing,Piston
GENERAL DYNAMICS,Aardvark,F111,Fixed-Wing,Jet
GENERAL DYNAMICS,Barak,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,Brakeet,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,EF-111 Raven,F111,Fixed-Wing,Jet
GENERAL DYNAMICS,F-16 Barak,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,F-16 Brakeet,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,F-16 Netz,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,F-111 Aardvark,F111,Fixed-Wing,Jet
GENERAL DYNAMICS,Netz,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,NF-16 Fighting Falcon,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,Raven,F111,Fixed-Wing,Jet
GENERAL DYNAMICS,RF-111 Aardvark,F111,Fixed-Wing,Jet
GENERAL DYNAMICS,TF-16 Fighting Falcon,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,F-16 Fighting Falcon,F16,Fixed-Wing,Jet
GENERAL DYNAMICS,Fighting Falcon,F16,Fixed-Wing,Jet
GENERAL MOTORS,Avenger,TBM,Fixed-Wing,Piston
GENERAL MOTORS,FM Wildcat,WCAT,Fixed-Wing,Piston
GENERAL MOTORS,TBM Avenger,TBM,Fixed-Wing,Piston
GENERAL MOTORS,Wildcat,WCAT,Fixed-Wing,Piston
GENEVATION,GenPro,GPRO,Fixed-Wing,Piston
GERMAN BIANCO,MB-308,M308,Fixed-Wing,Piston
GILES,G-200,G200,Fixed-Wing,Piston
GILES,G-202,G202,Fixed-Wing,Piston
GILES,G-222,CP22,Fixed-Wing,Piston
GILES,G-300,G300,Fixed-Wing,Piston
GIPPSAERO,GA-10,GA10,Fixed-Wing,Turboprop/Turboshaft
GIPPSAERO,GA-8 Airvan,GA8,Fixed-Wing,Piston
GIPPSAERO,Airvan,GA8,Fixed-Wing,Piston
GIPPSLAND,Airvan,GA8,Fixed-Wing,Piston
GIPPSLAND,Fatman,GA20,Fixed-Wing,Piston
GIPPSLAND,GA-8 Airvan,GA8,Fixed-Wing,Piston
GIPPSLAND,GA-200 Fatman,GA20,Fixed-Wing,Piston
GLASAIR,GlaStar,GLST,Fixed-Wing,Piston
GLASAIR,Sportsman 2+2,GLST,Fixed-Wing,Piston
GLASAIR,Glasair,GLAS,Fixed-Wing,Piston
GLASER-DIRKS,DG-400,DG40,Fixed-Wing,Piston
GLASER-DIRKS,DG-500M,DG50,Fixed-Wing,Piston
GLASER-DIRKS,DG-600M,DG60,Fixed-Wing,Piston
GLASER-DIRKS,DG-800,DG80,Fixed-Wing,Piston
GLASS,SG-70 STOLGlass,SG70,Fixed-Wing,Piston
GLASS,STOLGlass,SG70,Fixed-Wing,Piston
GLASSIC,SQ-2000,SQ2T,Fixed-Wing,Piston
GLOBAL,Huey 800,UH1,Helicopter,Turboprop/Turboshaft
GLOBE,GC-1 Swift,GC1,Fixed-Wing,Piston
GLOBE,Swift,GC1,Fixed-Wing,Piston
GLOS AIR,Glos-Airtourer,TOUR,Fixed-Wing,Piston
GLOSTER,Gauntlet,GAUN,Fixed-Wing,Piston
GLOSTER,Gladiator,GLAD,Fixed-Wing,Piston
GLOSTER,Meteor,METR,Fixed-Wing,Jet
GM&T,GM&T Pretty Flight,PRET,Fixed-Wing,Piston
GOAIR,GT-1 Trainer,GOTR,Fixed-Wing,Piston
GOAIR,Trainer,GOTR,Fixed-Wing,Piston
GOBOSH,G-700,AAT4,Fixed-Wing,Piston
GOBOSH,G-800,VL3,Fixed-Wing,Piston
GOGETAIR,G-600,ONE,Fixed-Wing,Piston
GOGETAIR,G-750T,ONE,Fixed-Wing,Piston
GOLDEN CAR,F-30 Brio,F30,Fixed-Wing,Piston
GOLDEN CAR,Brio,F30,Fixed-Wing,Piston
GOLDEN CIRCLE,T-Bird 2 Cargo,TBR3,Fixed-Wing,Piston
GOLDEN CIRCLE,T-Bird 3,TBR3,Fixed-Wing,Piston
GOMOLZIG,RF-9,RF9,Fixed-Wing,Piston
GOODYEAR,Corsair,CORS,Fixed-Wing,Piston
GOODYEAR,FG Corsair,CORS,Fixed-Wing,Piston
GREAT LAKES,2T-1 Sport,G2T1,Fixed-Wing,Piston
GREAT LAKES,2T-1 Sport Trainer,G2T1,Fixed-Wing,Piston
